"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"757",7,1000,-172.8825669,62.86960264,"20220227",-2362273.2266533,1837825.46139676
"857",8,1000,-173.28950402,62.74155685,"20220227",-2360660.30422343,1863635.10199659
"957",9,1000,-173.64949576,62.61006956,"20220227",-2360660.49126403,1887831.6767689
"1057",10,1000,-174.05315813,62.45989067,"20220227",-2360660.70709449,1915254.47383621
"1164",11,1000,-173.73223588,62.30883546,"20220227",-2384857.35645813,1912834.99988579
"1258",12,1000,-173.39871039,62.13615455,"20220227",-2411473.67853153,1911222.11307978
"1357",13,1000,-173.10043038,61.95538139,"20220227",-2437718.94307876,1911445.37777676
"1457",14,1000,-172.74200852,62.09614904,"20220227",-2436850.54348647,1886267.69227442
"1557",15,1000,-172.37301955,62.21931067,"20220227",-2437718.54562213,1861958.28583285
"1657",16,1000,-172.01043703,62.34746359,"20220227",-2437718.35458089,1837648.8452323
"1165",1,1000,-173.05576386,62.26233287,"20220228",-2411473.49214075,1887832.07778017
"258",2,1000,-173.33655426,62.42821497,"20220228",-2387276.81855827,1887831.88592911
"358",3,1000,-172.67357453,62.40051872,"20220228",-2411473.28765688,1862022.41413149
"458",4,1000,-172.9293529,62.57602444,"20220228",-2387276.60372308,1860409.10948969
"558",5,1000,-172.3087748,62.53892242,"20220228",-2410666.53116729,1837019.28420536
"658",6,1000,-172.59435311,62.72215112,"20220228",-2384856.75697129,1836212.53598877
"758",7,1000,-172.8825669,62.86960264,"20220228",-2362273.2266533,1837825.46139676
"858",8,1000,-173.28950402,62.74155685,"20220228",-2360660.30422343,1863635.10199659
"958",9,1000,-173.64949576,62.61006956,"20220228",-2360660.49126403,1887831.6767689
"1058",10,1000,-174.05315813,62.45989067,"20220228",-2360660.70709449,1915254.47383621
"1166",11,1000,-173.73223588,62.30883546,"20220228",-2384857.35645813,1912834.99988579
"1259",12,1000,-173.39871039,62.13615455,"20220228",-2411473.67853153,1911222.11307978
"1358",13,1000,-173.10043038,61.95538139,"20220228",-2437718.94307876,1911445.37777676
"1458",14,1000,-172.74200852,62.09614904,"20220228",-2436850.54348647,1886267.69227442
"1558",15,1000,-172.37301955,62.21931067,"20220228",-2437718.54562213,1861958.28583285
"1658",16,1000,-172.01043703,62.34746359,"20220228",-2437718.35458089,1837648.8452323
"1167",1,1000,-173.05576386,62.26233287,"20220301",-2411473.49214075,1887832.07778017
"259",2,1000,-173.33655426,62.42821497,"20220301",-2387276.81855827,1887831.88592911
"359",3,1000,-172.67357453,62.40051872,"20220301",-2411473.28765688,1862022.41413149
"459",4,1000,-172.9293529,62.57602444,"20220301",-2387276.60372308,1860409.10948969
"559",5,1000,-172.3087748,62.53892242,"20220301",-2410666.53116729,1837019.28420536
"659",6,1000,-172.59435311,62.72215112,"20220301",-2384856.75697129,1836212.53598877
